participant_id,zone,zone_title,pod_id,pod_size,function,industry,ai_maturity,primary_next_activity,networking_opt_in,pod_common_ground,pod_complementarity,pod_useful_diversity,pod_session_continuity,pod_friction,pod_total_score,pod_rationale,pod_starter
125,A,Rewire for Value,A1,10,Operations,Industrial/Manufacturing,1,Future of Operations,True,0.374,0.722,0.792,1.0,0.0,2.248,"Este grupo compartilha interesse em redesenhar processos do zero e escalar valor a partir de pilotos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e escalar valor a partir de pilotos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
120,A,Rewire for Value,A1,10,Marketing/Sales,Other,1,Future of Operations,True,0.374,0.722,0.792,1.0,0.0,2.248,"Este grupo compartilha interesse em redesenhar processos do zero e escalar valor a partir de pilotos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e escalar valor a partir de pilotos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
77,A,Rewire for Value,A1,10,People/HR,Technology,2,Future of Operations,True,0.374,0.722,0.792,1.0,0.0,2.248,"Este grupo compartilha interesse em redesenhar processos do zero e escalar valor a partir de pilotos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e escalar valor a partir de pilotos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
29,A,Rewire for Value,A1,10,People/HR,Professional Services,0,Future of Operations,True,0.374,0.722,0.792,1.0,0.0,2.248,"Este grupo compartilha interesse em redesenhar processos do zero e escalar valor a partir de pilotos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e escalar valor a partir de pilotos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
12,A,Rewire for Value,A1,10,Strategy,Professional Services,1,Future of Operations,True,0.374,0.722,0.792,1.0,0.0,2.248,"Este grupo compartilha interesse em redesenhar processos do zero e escalar valor a partir de pilotos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e escalar valor a partir de pilotos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
2,A,Rewire for Value,A1,10,Strategy,Industrial/Manufacturing,1,Future of Operations,True,0.374,0.722,0.792,1.0,0.0,2.248,"Este grupo compartilha interesse em redesenhar processos do zero e escalar valor a partir de pilotos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e escalar valor a partir de pilotos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
40,A,Rewire for Value,A1,10,Strategy,Energy,0,Future of Operations,True,0.374,0.722,0.792,1.0,0.0,2.248,"Este grupo compartilha interesse em redesenhar processos do zero e escalar valor a partir de pilotos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e escalar valor a partir de pilotos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
191,A,Rewire for Value,A1,10,Finance,Industrial/Manufacturing,1,Future of Operations,True,0.374,0.722,0.792,1.0,0.0,2.248,"Este grupo compartilha interesse em redesenhar processos do zero e escalar valor a partir de pilotos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e escalar valor a partir de pilotos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
168,A,Rewire for Value,A1,10,Strategy,Professional Services,2,Future of Operations,True,0.374,0.722,0.792,1.0,0.0,2.248,"Este grupo compartilha interesse em redesenhar processos do zero e escalar valor a partir de pilotos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e escalar valor a partir de pilotos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
53,A,Rewire for Value,A1,10,Strategy,Professional Services,0,Future of Operations,True,0.374,0.722,0.792,1.0,0.0,2.248,"Este grupo compartilha interesse em redesenhar processos do zero e escalar valor a partir de pilotos. Ao mesmo tempo, reune 5 funcoes diferentes, trazendo angulos distintos sobre o mesmo tema. A maior parte do pod pretende seguir para O Futuro das Operacoes depois — a conversa pode continuar la.",Comecem por aqui: redesenhar processos do zero e escalar valor a partir de pilotos. Onde voces estao hoje: otimizando o que ja existe ou redesenhando do zero — e por que?
