ID,Função/Área,Setor,Interesses (2 a 3),Estágio da Org.,Desafio Atual (Aberto),Opt-in Networking?,Interesse em Palestras (Múltipla Escolha),T1,T2,T3
1,Technology/Data,Financial Services,Agents; Data/Tech,Scaling,"""Criar uma arquitetura de dados escalável para modelos preditivos.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,2,4,4
2,Consultoria Estratégica,Infraestrutura e Construção,Workflow Redesign; Scaling/Value,Piloting,"""Integrar IA na modelagem financeira e precificação de projetos.""",Sim,O Futuro das Operações,5,3,2
3,People/HR,Consumer/Retail,People/Talent; Governance/Risk,Exploring,"""Mitigar a ansiedade da equipe em relação à adoção de copilotos.""",Sim,A Reinvenção do Comércio,1,null,5
4,Business Consulting,Professional Services,Scaling/Value; Growth/Commercial,Piloting,"""Estruturar casos de uso claros para clientes em diferentes níveis de maturidade.""",Sim,"O Futuro das Operações, A Reinvenção do Comércio",4,3,1
5,Operations,Industrial/Manufacturing,Operations; Workflow Redesign,Scaling,"""Otimização de rotas logísticas e supply chain em tempo real.""",Sim,O Futuro das Operações,3,2,4
6,Risk/Legal,Healthcare,Governance/Risk; Data/Tech,Piloting,"""Criar guardrails robustos para IA generativa no atendimento ao paciente.""",Não,Não tenho nenhum interesse em particular,2,1,5
7,Marketing/Sales,Educação Digital / EdTech,Growth/Commercial; Agents,Embedded/ Transforming,"""Agentes autônomos para qualificação e conversão de leads B2B.""",Sim,A Reinvenção do Comércio,4,5,2
8,Finance,Financial Services,Governance/Risk; Workflow Redesign,Exploring,"""Automatizar a conciliação bancária de alto volume de transações.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,2,2,4
9,Investment Banking,Financial Services,Agents; Scaling/Value,Piloting,"""Geração automática de relatórios de avaliação de empresas.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,4,1
10,Technology/Data,Technology,Agents; Scaling/Value,Embedded/ Transforming,"""Orquestrar múltiplos agentes (multi-agent systems) reduzindo latência.""",Sim,"O Futuro das Operações, Como agentes de IA estão redefinindo os serviços financeiros",5,5,1
11,Technology/Data,Mobilidade Urbana,Data/Tech; Operations,Scaling,"""Previsão de demanda em redes de transporte metropolitano usando dados em tempo real.""",Sim,O Futuro das Operações,4,3,5
12,Consultor de Negócios,Professional Services,Strategy; Workflow Redesign,Piloting,"""Estruturar cases de estratégia de IA para novos clientes em setores tradicionais.""",Sim,"O Futuro das Operações, A Reinvenção do Comércio",5,4,2
13,Finance,Financial Services,Scaling/Value; Data/Tech,Exploring,"""Automatizar a extração de premissas financeiras de demonstrativos longos.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,2,4
14,Operations,Engenharia e Construção,Operations; Workflow Redesign,Piloting,"""Otimizar o fluxo de suprimentos e prever atrasos no cronograma físico-financeiro de grandes obras.""",Sim,O Futuro das Operações,4,2,3
15,Strategy,Consumer/Retail,Growth/Commercial; Agents,Piloting,"""Criar agentes conversacionais que recomendam produtos com base em histórico transacional.""",Sim,A Reinvenção do Comércio,4,4,2
16,Risk/Legal,Financial Services,Governance/Risk; Data/Tech,Embedded/ Transforming,"""Auditar modelos preditivos de crédito para evitar vieses discriminatórios.""",Não,Não tenho nenhum interesse em particular,2,1,5
17,Marketing/Sales,Mídia e Informação Financeira,Growth/Commercial; Scaling/Value,Scaling,"""Geração de resumos e insights a partir de terminais de dados financeiros globais.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,3,3,null
18,People/HR,Technology,People/Talent; Workflow Redesign,Piloting,"""Desenvolver um sistema de triagem ágil para grandes volumes em programas de estágio.""",Sim,O Futuro das Operações,4,3,4
19,Technology/Data,Energy,Data/Tech; Operations,Scaling,"""Detectar anomalias em redes de distribuição antes que ocorram falhas físicas.""",Sim,O Futuro das Operações,2,4,3
20,Engenheiro de Machine Learning,Healthcare,Agents; Governance/Risk,Piloting,"""Treinar LLMs locais com dados médicos sem violar a privacidade do paciente.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,5,3,5
21,Finance,Consumer/Retail,Workflow Redesign; Governance/Risk,Exploring,"""Automatizar conciliação de pagamentos com múltiplos adquirentes do varejo.""",Sim,A Reinvenção do Comércio,2,2,4
22,Strategy,Gestão de Ativos (Asset Mgmt),Data/Tech; Scaling/Value,Scaling,"""Integrar estratégias quantitativas baseadas em IA no portfólio de investimentos.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,4,4,2
23,Operations,Professional Services,Operations; People/Talent,Piloting,"""Criar um sistema interno de busca com metodologias para acelerar o ramp-up de analistas.""",Sim,O Futuro das Operações,null,null,null
24,Marketing/Sales,Industrial/Manufacturing,Growth/Commercial; Scaling/Value,Exploring,"""Automatizar a formulação de propostas técnicas iniciais de maquinário.""",Sim,A Reinvenção do Comércio,3,2,3
25,Product Manager,Technology,Agents; Workflow Redesign,Embedded/ Transforming,"""Coordenar múltiplos agentes de IA gerando respostas simultâneas em tempo real.""",Sim,"Como agentes de IA estão redefinindo os serviços financeiros, O Futuro das Operações",5,5,2
26,Risk/Legal,Energy,Governance/Risk; Operations,Piloting,"""Automatizar a extração de obrigações de relatórios de impacto ambiental longos.""",Sim,O Futuro das Operações,2,1,5
27,Finance,Varejo de Alta Renda,Scaling/Value; Governance/Risk,Scaling,"""Implementar protocolos rigorosos de autorização e biometria para compras de alto valor.""",Sim,"A Reinvenção do Comércio, Como agentes de IA estão redefinindo os serviços financeiros",3,4,4
28,Technology/Data,Financial Services,Agents; Data/Tech,Piloting,"""Construir agentes que leem e mapeiam regras de negócios em código antigo.""",Não,Não tenho nenhum interesse em particular,4,3,3
29,People/HR,Professional Services,People/Talent; Workflow Redesign,Exploring,"""Identificar rapidamente lacunas técnicas em consultores antes da alocação em projetos.""",Sim,O Futuro das Operações,2,2,3
30,Analista de Suprimentos,Industrial/Manufacturing,Operations; Data/Tech,Scaling,"""Prever ruptura de estoque com base em cadeia de fornecimento e oscilações do mercado.""",Sim,"O Futuro das Operações, A Reinvenção do Comércio",4,4,2
31,Operations,Mobilidade e Transporte,Operations; Scaling/Value,Scaling,"""Otimizar o processamento de QR codes e tickets na rede metropolitana de São Paulo.""",Sim,O Futuro das Operações,3,null,5
32,Finance,Financial Services,Data/Tech; Agents,Exploring,"""Criar modelos de estratégias quantitativas baseadas no fluxo de notícias financeiras matinais.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,null,4,3
33,Strategy,Professional Services,People/Talent; Workflow Redesign,Piloting,"""Acelerar a preparação e estruturação de cases para recrutamento e ramp-up de consultores juniores.""",Sim,O Futuro das Operações,4,2,null
34,Gestor de Projetos,Engenharia Civil,Scaling/Value; Operations,Piloting,"""Modelagem preditiva para otimizar cronogramas e reduzir desperdício em canteiros de obras.""",Sim,O Futuro das Operações,5,null,3
35,Marketing/Sales,Consumer/Retail,Growth/Commercial; Data/Tech,Embedded/ Transforming,"""Hiperpersonalização de ofertas para clientes fidelizados do varejo.""",Sim,A Reinvenção do Comércio,3,4,null
36,Risk/Legal,Financial Services,Governance/Risk; Workflow Redesign,Piloting,"""Garantir compliance e rastreabilidade nas aprovações de crédito.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,null,1,5
37,People/HR,Healthcare,People/Talent; Governance/Risk,Exploring,"""Mitigar o viés algorítmico em processos de seleção para a área médica.""",Não,Não tenho nenhum interesse em particular,1,null,4
38,Technology/Data,Technology,Agents; Scaling/Value,Scaling,"""Otimizar o uso de modelos de alta capacidade em ambientes de nuvem corporativa.""",Sim,"O Futuro das Operações, Como agentes de IA estão redefinindo os serviços financeiros",5,4,null
39,Diretor de Supply Chain,Industrial/Manufacturing,Operations; Workflow Redesign,Piloting,"""Prever ruptura de insumos críticos diretamente na linha de montagem.""",Sim,"O Futuro das Operações, A Reinvenção do Comércio",null,2,3
40,Strategy,Energy,Growth/Commercial; Scaling/Value,Exploring,"""Mapear o ROI de redes inteligentes de distribuição elétrica.""",Sim,O Futuro das Operações,3,null,4
41,Finance,Private Equity,Data/Tech; Agents,Piloting,"""Automatizar due diligence financeira a partir de documentação não estruturada.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,2,3,null
42,Operations,Healthcare,Workflow Redesign; Operations,Piloting,"""Redesenhar o fluxo de atendimento em prontos-socorros com IA generativa.""",Sim,O Futuro das Operações,5,null,5
43,Technology/Data,Financial Services,Agents; Governance/Risk,Embedded/ Transforming,"""Garantir que agentes de IA não exponham dados bancários entre diferentes sessões.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,null,4,5
44,Head de Inovação,Professional Services,Strategy; Agents,Exploring,"""Identificar onde agentes autônomos podem substituir fluxos de consultoria tradicionais.""",Sim,"O Futuro das Operações, Como agentes de IA estão redefinindo os serviços financeiros",5,null,2
45,Marketing/Sales,Technology,Growth/Commercial; Scaling/Value,Scaling,"""Escalar outbound sales com agentes conversacionais naturais.""",Sim,A Reinvenção do Comércio,4,4,null
46,Risk/Legal,Consumer/Retail,Governance/Risk; Operations,Piloting,"""Analisar contratos de fornecimento para identificar cláusulas de risco trabalhista.""",Sim,A Reinvenção do Comércio,null,1,5
47,People/HR,Industrial/Manufacturing,People/Talent; Workflow Redesign,Exploring,"""Requalificar operadores de chão de fábrica para usar copilotos industriais em campo.""",Não,Não tenho nenhum interesse em particular,2,null,3
48,Finance,Financial Services,Scaling/Value; Workflow Redesign,Scaling,"""Modelagem financeira detalhada para provisionar os custos da transição para IA corporativa.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,4,3,null
49,Operations,Logística e Fretes,Operations; Data/Tech,Piloting,"""Roteirização dinâmica em tempo real para frotas pesadas no transporte rodoviário.""",Sim,"O Futuro das Operações, A Reinvenção do Comércio",3,null,3
50,Estrategista de Dados,Technology,Data/Tech; Governance/Risk,Embedded/ Transforming,"""Criar catálogos semânticos corporativos seguros para alimentar aplicações RAG.""",Sim,O Futuro das Operações,null,3,5
51,Operations,Construção Civil,Operations; Workflow Redesign,Scaling,"""Implementar gêmeos digitais para monitoramento físico-financeiro em canteiros de obras de grande porte.""",Sim,O Futuro das Operações,4,null,3
52,Strategy,Financial Services,Agents; Governance/Risk,Piloting,"""Garantir compliance e rastreabilidade na aprovação automatizada de crédito.""",Sim,Como agentes de IA estão redefinindo os serviços financeiros,2,1,5
